Group,Track,Lesson Page,Assigned,Due by_long,Due by_short,Required,Course,Chapters_long,Chapters_wide
1,1,[Week 1](/lesson/01-lesson/),8/19/21,9/1/21,9/1/21,checked,Introduction to R,Intro to basics,"Intro to basics, Vectors, Matrices, Factors, Data Frames, Lists"
1,,,,,,,,Vectors,
1,,,,,,,,Matrices,
1,,,,,,,,Factors,
1,,,,,,,,Data Frames,
1,,,,,,,,Lists,
,,,,,,,,,
2,2,[Week 3](/lesson/03-lesson/),,,,checked,Intro to Statistics with R: Introduction,Variables,"Variables, Histograms and Distributions, Measures of Central Tendency"
2,,,,,,,,Histograms and Distributions,
2,,,,,,,,Measures of Central Tendency,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
EC1,EC1,,8/19/21,12/8/21,12/8/21,unchecked,Working with Data in the Tidyverse,Explore your data,"Explore your data, Tame your data, Tidy your data, Transform your data"
EC1,EC1,,,,,,,Tame your data,
EC1,EC1,,,,,,,Tidy your data,
EC1,EC1,,,,,,,Transform your data,
EC1,EC1,,,,,,,,
EC1,EC1,,,,,unchecked,Dr. Semmelweis and the Discovery of Handwashing,,
,,,,,,,,,
EC2,EC2,,8/19/21,12/8/21,12/8/21,unchecked,Fundamentals of Bayesian Data Analysis in R,What is Bayesian Data Analysis?,"What is Bayesian Data Analysis?, How does Bayesian inference work?, Why use Bayesian Data Analysis?, Bayesian inference with Bayes' theorem"
EC2,EC2,,,,,,,How does Bayesian inference work?,
EC2,EC2,,,,,,,Why use Bayesian Data Analysis?,
EC2,EC2,,,,,,,Bayesian inference with Bayes' theorem,
